Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578261049.0588672,20.04,999.83,0.0,24.36,998.89,0.0,22.69,999.74,0.83
1578261199.0436957,20.02,999.77,0.0,24.34,998.88,0.0,22.67,999.73,0.83
1578261349.0145898,20.0,999.77,0.0,24.31,998.82,0.0,22.64,999.67,0.83
1578261499.0323787,19.97,999.75,0.0,24.29,998.82,0.0,22.62,999.66,0.83
1578261648.9853415,19.95,999.77,0.0,24.29,998.82,0.0,22.6,999.67,0.0
1578261798.9556823,19.93,999.77,0.0,24.26,998.81,0.0,22.57,999.66,0.83
1578261948.9413722,19.9,999.8,0.0,24.25,998.84,0.0,22.54,999.66,0.83
1578262098.9276936,19.88,999.84,0.0,24.24,998.89,0.0,22.51,999.69,0.83
1578262248.8975027,19.86,999.88,0.0,24.21,998.91,0.0,22.51,999.76,0.83
1578262398.8840013,19.84,999.89,0.0,24.2,998.93,0.0,22.49,999.77,0.83
1578262548.8713512,19.82,999.94,0.0,24.19,998.97,0.0,22.47,999.81,0.83
1578262698.8399937,19.78,999.93,0.0,24.19,998.97,0.0,22.47,999.84,0.0
1578262848.821944,19.75,999.92,0.0,24.17,998.96,0.0,22.44,999.84,0.0
1578262998.8117416,19.72,999.91,0.0,24.13,998.95,0.0,22.41,999.84,0.0
1578263148.7940776,19.7,999.89,0.0,24.12,998.9,0.0,22.36,999.82,0.0
1578263298.7748466,19.66,999.85,0.0,24.1,998.89,0.0,22.3,999.82,0.0
1578263448.7563186,19.63,999.82,0.0,24.08,998.86,0.0,22.24,999.79,0.0
1578263598.7864087,19.61,999.76,0.0,24.07,998.8,0.0,22.12,999.7,0.0
1578263748.7291172,19.58,999.71,0.0,24.04,998.74,0.0,22.12,999.7,0.0
1578263898.7000978,19.55,999.64,0.0,24.01,998.67,0.0,22.08,999.65,0.0
1578264048.6794124,19.52,999.61,0.0,24.0,998.64,0.0,22.05,999.58,0.0
1578264198.6492379,19.49,999.57,0.0,23.98,998.59,0.0,22.0,999.54,0.0
1578264348.6664634,19.46,999.55,0.0,23.95,998.56,0.0,21.97,999.5,0.0
1578264498.605795,19.43,999.53,0.0,23.95,998.56,0.0,21.92,999.47,0.0
1578264648.6212957,19.41,999.54,0.0,23.92,998.59,0.0,21.88,999.46,0.0
1578264798.5760314,19.38,999.53,0.0,23.92,998.59,0.0,21.85,999.47,0.0
